Lat,Long,W4568d,W1010d,W4579d,W4584d,W4595d,W4621d,W4623d,W4642d,W4623d,W4643d,W1010_S,W4568_S,W4579_S,W4584_S,W4589_S,W4595_S,W4621_S,W4623_S,W4642_S,W4643_S,W1010y ,W4568y,W4579Y,W4584y,W4589y,W4595y,W4621y,W4623y,W4642y,W4643y
41.4443346,87.5870024,8.293844922,0.839791081,3.783199863,4.283251262,2.360800379,5.371050432,0.661608156,33.90957387,0.775832316,3.925585741,42,18,57,2,0,60,5,917,31,2,0,0,0,0,0,0,0,1,0,0
42.3886476,87.96078,9.309280349,1.086294199,4.655750904,4.534036472,2.28559223,6.367426581,0.468492295,33.63651674,0.239934749,4.399230102,30,15,16,2,0,29,5,894,27,2,1,0,0,0,0,0,0,0,0,0
44.9810022,93.2626621,14.28058437,6.013915405,10.46916529,10.15170178,7.807654523,11.00146493,6.050414191,28.85897909,6.0759291,6.818280666,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0
42.6119318,83.9244065,8.832546831,4.660030172,3.318618558,0.517956909,1.834817495,7.039600007,4.171899284,37.6716874,3.980883097,7.580764495,8,3,7,492,1,170,1,14,33,0,0,0,0,0,0,0,0,1,0,0
42.9996182,83.7665442,9.229028028,4.924086618,3.727524455,0.632190016,1.970658348,7.458117386,4.405729499,37.8737992,4.197589591,7.917542898,7,2,1,493,1,116,1,12,29,0,0,0,0,0,0,0,0,1,0,0
42.7161831,83.0321044,9.027180926,5.550466779,3.665460264,0.46776861,2.709825048,7.528465725,5.069395946,38.570052,4.879250771,8.410455146,6,2,1,492,1,67,0,12,26,0,0,0,0,1,0,0,0,0,0,0
40.517975,75.778831,10.9264369,12.67834004,8.74820746,7.892771956,10.23923221,11.77071205,12.3415197,45.6295029,12.21230749,14.78275212,3,0,11,3,0,8,4,20,3,4,0,0,0,0,0,0,0,1,0,0
40.3410223,76.4078343,10.32478719,12.0653105,8.101552314,7.334187042,9.674182732,11.12119887,11.73944016,44.9931692,11.61577923,14.13757601,3,0,10,3,1,6,6,16,4,3,0,0,0,0,0,0,0,1,0,0
42.4419714,83.3216582,8.715992681,5.208176415,3.304687392,0.108463136,2.458117358,7.148781864,4.746050747,38.25231391,4.566753558,8.026744118,6,2,1,491,1,72,0,12,26,0,0,0,0,1,0,0,0,0,0,0
41.851005,87.779506,8.743318505,0.784251646,4.176120854,4.395351719,2.301725026,5.805065771,0.270993523,33.75714023,0.327518268,4.084787767,37,18,34,2,0,50,4,912,30,2,0,0,0,0,0,0,0,1,0,0
41.5301164,87.3320764,8.279062413,1.100793589,3.625709555,4.015284735,2.109579581,5.420433568,0.811223603,34.17124958,0.836853145,4.171989166,38,18,60,2,0,73,3,879,32,2,0,0,0,0,0,0,1,0,0,0
42.647921,83.5025218,8.900587487,5.077417464,3.445148456,0.196732931,2.247730783,7.249060707,4.594090886,38.09494902,4.404150348,7.964700241,6,2,3,492,1,93,1,12,26,0,0,0,0,1,0,0,0,0,0,0
40.0032577,86.1243208,6.449330519,2.695929901,1.806000007,3.652247804,2.931212451,3.901279699,2.71454513,35.27127831,2.783061057,4.506175877,9,5,359,1,0,42,12,32,10,1,0,0,1,0,0,0,0,0,0,0
