Store ID,ADDRESS,ADDRESS 2,CITY,WAREHOUSEID,STATE and PIN,Lat,Long
140041534,,11729 IMPERIAL HWY ,NORWALK,XXXXX,CA,33.9182525,118.0828218
140002783,,10901 IMPERIAL HWY ,NORWALK,XXXXX,CA,33.9183529,118.1015691
140039158,,12051 IMPERIAL HWY ,NORWALK,XXXXX,CA,33.918455,118.0755053
100033203,,14865 TELEGRAPH RD ,LA MIRADA,XXXXX,CA,33.9186067,118.0133938
140006471,,2101 W IMPERIAL HWY ,LA HABRA,XXXXX,CA,33.9186903,117.9690152
140054695,,25050 ALESSANDRO BLVD ,MORENO VALLEY,XXXXX,CA,33.9188034,117.2252063
100005237,,855 E BIRCH ST ,BREA,XXXXX,CA,33.9188656,117.8877513
140003423,,305 W IMPERIAL HWY ,BREA,XXXXX,CA,33.9188994,117.902747
140002810,,24440 ALESSANDRO BLVD ,MORENO VALLEY,XXXXX,CA,33.9196003,117.2360115
140047467,,2700 W 120TH ST ,HAWTHORNE,XXXXX,CA,33.9218393,118.3215379
200932511,,777 S HARBOR BLVD ,LA HABRA,XXXXX,CA,33.921863,117.9349596
140003469,,500 N SEPULVEDA BLVD ,EL SEGUNDO,XXXXX,CA,33.9219946,118.3955891
140001794,,2790 HAMNER AVE ,NORCO,XXXXX,CA,33.9225744,117.5603158
140045543,,200 N PUENTE ST ,BREA,XXXXX,CA,33.9229683,117.9151289
140004982,,10935 FIRESTONE BLVD ,NORWALK,XXXXX,CA,33.9238106,118.100426
140018060,,300 S HIGHLAND SPGS AVE ,BANNING,XXXXX,CA,33.9238641,116.9454427
140001684,,9225 MAGNOLIA AVE ,RIVERSIDE,XXXXX,CA,33.9238906,117.4419652
140044167,,1540 E 2ND ST ,BEAUMONT,XXXXX,CA,33.9245402,116.9517892
100076463,,9001 APOLLO WAY ,DOWNEY,XXXXX,CA,33.9245953,118.1285433
100001986,,14124 E LAMBERT RD ,WHITTIER,XXXXX,CA,33.9246174,117.9331362
100072963,,7900 IMPERIAL HWY ,DOWNEY,XXXXX,CA,33.9247288,118.1542336
100009072,,7900 IMPERIAL HWY ,DOWNEY,XXXXX,CA,33.9247288,118.1542336
140025659,,11922 S VERMONT AVE ,LOS ANGELES,XXXXX,CA,33.9250826,118.2909613
200505956,,2950 JEFFERSON STREET STE B ,RIVERSIDE,XXXXX,CA,33.9252547,117.4084652
140002795,,11840 WILMINGTON AVE ,LOS ANGELES,XXXXX,CA,33.92589,118.2374036
140020753,,11873 HAWTHORNE BLVD ,HAWTHORNE,XXXXX,CA,33.9259591,118.3540822
140037718,,10600 FIRESTONE BLVD ,NORWALK,XXXXX,CA,33.9260567,118.1076167
140004988,,2971 W RAMSEY ST ,BANNING,XXXXX,CA,33.9261774,116.9092994
100003092,,11605 S CARMENITA ,WHITTIER,XXXXX,CA,33.926434,118.0469221
100106135,,3317 W RAMSEY ST ,BANNING,XXXXX,CA,33.9267994,116.9133929
140002761,,4250 VAN BUREN BLVD ,RIVERSIDE,XXXXX,CA,33.9276995,117.4532529
100000453,,1691 E 6TH ST ,BEAUMONT,XXXXX,CA,33.9278774,116.9482632
100025274,,12270 PARAMOUNT BLVD ,DOWNEY,XXXXX,CA,33.9281244,118.1476514
140002745,,11245 LONG BCH BLVD ,LYNWOOD,XXXXX,CA,33.9286646,118.2126936
100035707,,11533 S WESTERN AVE ,LOS ANGELES,XXXXX,CA,33.9288823,118.3095278
140019995,,3831 MARTIN LUTHER KING JR BLVD ,LYNWOOD,XXXXX,CA,33.928954,118.1976515
140002755,,11407 S WESTERN AVE ,LOS ANGELES,XXXXX,CA,33.9297709,118.3106008
140006474,,780 N BREA BLVD ,BREA,XXXXX,CA,33.9306013,117.8931373
100001463,,1941 W IMPERIAL HWY ,LA HABRA,XXXXX,CA,33.9313153,118.3127017
200764936,,101 N BEACH BLVD ,LA HABRA,XXXXX,CA,33.9328101,117.969716
140043629,,11202 CRENSHAW BLVD ,INGLEWOOD,XXXXX,CA,33.933051,118.325688
140032490,,10721 ATLANTIC AVE ,LYNWOOD,XXXXX,CA,33.933276,118.1831879
200751782,,12880 DAY ST ,MORENO VALLEY,XXXXX,CA,33.9337361,117.2747761
140004990,,10833 LONG BEACH BLVD ,LYNWOOD,XXXXX,CA,33.9343161,118.2138276
