Distance,DriverScore,LoaderScore,AssemblerScore,0 to 7,8 to 20,21 to 23,Time
78.09208115,76.14285714,2839,2835.785714,1,0,0,4
65.99904899,90.28571429,2838,2834.785714,1,0,0,4
95.89856919,83.85714286,2837,2833.785714,1,0,0,3
72.70950587,85.14285714,2836.5,2833.285714,1,0,0,3
108.9969731,85.78571429,153.7142857,140.4285714,0,0,1,4
985.8502247,77.07142857,1118.928571,565.9285714,1,0,0,34
63.15795633,84.21428571,2364.714286,2467.357143,1,0,0,3
105.9528586,76.14285714,1053.285714,1077.857143,1,0,0,4
197.6859749,86.07142857,2835.5,2832.285714,1,0,0,5
877.1883145,82.57142857,277.4285714,135.9285714,1,0,0,27
232.5844582,86.42857143,2255.5,2269.5,1,0,0,6
357.0539532,85.14285714,2255,2269,1,0,0,11
77.5921327,81.14285714,2835,2831.785714,1,0,0,4
88.60616646,88.35714286,33.07142857,23.92857143,1,0,0,4
305.4433728,74.21428571,2253,2267,1,0,0,7
151.191794,8.785714286,149.4285714,175.2857143,1,0,0,5
175.5854102,74.71428571,1052.785714,1076.857143,0,0,1,7
561.3966664,81.92857143,2834,2830.785714,1,0,0,13
186.6880291,30.35714286,1052.285714,1076.357143,1,0,0,7
425.531617,69.71428571,2832.5,2829.285714,1,0,0,11
104.0073553,88.35714286,1051.785714,1075.857143,1,0,0,4
713.6607297,85.78571429,122.7142857,60.71428571,1,0,0,18
306.1847513,74.71428571,2252.5,2266.5,1,0,0,9
65.55505952,62.35714286,41.42857143,139.9285714,1,0,0,3
976.4586286,65.57142857,124.5,114.1428571,1,0,0,27
173.6547105,89,1117.928571,565.4285714,1,0,0,7
171.6053689,80.64285714,2251.5,2265.5,1,0,0,6
204.6124613,83.85714286,2251,2265,1,0,0,8
84.84651242,85.14285714,2362.714286,2465.357143,0,0,1,4
80.65284413,71,2831,2827.785714,1,0,0,3
143.5388136,75.21428571,2830,2826.785714,0,1,0,4
61.71899501,18.92857143,86.71428571,50.57142857,1,0,0,3
319.8243916,90.92857143,1116.428571,664.0714286,1,0,0,9
1165.494846,70.35714286,2250,2264,1,0,0,22
139.1069875,1.285714286,2249.5,2263.5,1,0,0,5
493.1388901,73.57142857,2829.5,2826.285714,1,0,0,16
93.24288984,82.42857143,401.8571429,366.8571429,0,1,0,4
318.222728,78.57142857,324,209.5,1,0,0,7
495.4092477,76.78571429,122.2142857,39.85714286,1,0,0,11
83.0617908,83.85714286,1051.285714,1075.357143,1,0,0,3
195.5006699,97.5,2249,2263,0,0,1,5
65.11675401,80.14285714,2248.5,2262.5,0,0,1,3
1256.980329,75.64285714,2829,2825.785714,1,0,0,24
206.0523417,84,2248,2262,1,0,0,7
266.3786704,78.35714286,159.7142857,102.9285714,1,0,0,7
1297.784226,73.28571429,2247.5,2261.5,0,0,1,45
82.60642224,76.64285714,96.07142857,176.6428571,1,0,0,3
1564.755304,8.285714286,148.9285714,174.2857143,1,0,0,32
94.48326774,85.92857143,65.14285714,139.4285714,1,0,0,4
77.72868811,0.785714286,2246.5,92.21428571,1,0,0,4
141.1830089,81.28571429,2246,2260.5,1,0,0,5
122.5977601,59.42857143,159.2142857,170.7857143,1,0,0,4
76.49162554,94.28571429,153.2142857,128,1,0,0,3
805.2321476,60.85714286,2827,2823.785714,1,0,0,15
91.40029593,49.14285714,1050.785714,1074.857143,1,0,0,4
759.3477609,94.92857143,2357.214286,2459.857143,1,0,0,24
559.218311,75.5,60.07142857,29.07142857,1,0,0,13
439.021458,56.35714286,358.5,342.7142857,1,0,0,11
527.1689816,54.28571429,347.3571429,342.2142857,1,0,0,13
810.0881348,67.92857143,744.7142857,476.9285714,1,0,0,18
132.8504291,73.71428571,2244.5,2259,1,0,0,4
159.0566736,87.85714286,1050.285714,1074.357143,1,0,0,4
95.36278244,65.85714286,59.07142857,90.57142857,1,0,0,3
561.2531288,54.92857143,2243,2257.5,1,0,0,12
